WKT,id,name,alt_name,latitude,longitude
"POINT (96.7067228 4.6094211)",11.0,ACEH,ACEH,4.6094211,96.7067228
"POINT (99.38122 2.19235)",12.0,SUMATERA UTARA,SUMATERA UTARA,2.19235,99.38122
"POINT (100.8121837 -0.8149713)",13.0,SUMATERA BARAT,SUMATERA BARAT,-0.8149713,100.8121837
"POINT (101.7453329 0.1928088)",14.0,RIAU,RIAU,0.1928088,101.7453329
"POINT (103.5926883 -1.5786205)",15.0,JAMBI,JAMBI,-1.5786205,103.5926883
"POINT (103.8184018 -3.12668)",16.0,SUMATERA SELATAN,SUMATERA SELATAN,-3.12668,103.8184018
"POINT (102.3492124 -3.51868)",17.0,BENGKULU,BENGKULU,-3.51868,102.3492124
"POINT (105.1591329 -4.7131395)",18.0,LAMPUNG,LAMPUNG,-4.7131395,105.1591329
"POINT (106.3205189 -2.7797057)",19.0,KEPULAUAN BANGKA BELITUNG,KEPULAUAN BANGKA BELITUNG,-2.7797057,106.3205189
"POINT (104.6023428 -0.1328074)",21.0,KEPULAUAN RIAU,KEPULAUAN RIAU,-0.1328074,104.6023428
